Semilla,Tratamiento,Germinacion,Materia_Fresca_Raiz,Materia_Fresca_Tallo,Materia_Seca_Raiz,Materia_Seca_Tallo,Peso_Dia3,Altura_Dia1,Diametro_Dia1,Peso_Dia2,Altura_Dia2,Diametro_Dia2,Peso_Dia1,Altura_Dia3,Diametro_Dia3
1,Turba,1,0.0,0.0,0.0,0.0,193,9.4,9.1,241,9.7,8.1,226,9.2,8.1
2,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
3,Turba,1,0.0,0.0,0.0,0.0,267,10.8,8.1,224,8.5,7.4,240,7.3,9.4
4,Turba,1,0.0,0.0,0.0,0.0,179,8.7,9.4,208,8.7,8.4,240,9.6,9.4
5,Turba,1,0.0,0.0,0.0,0.0,179,9.7,9.4,259,9.2,9.0,224,8.6,7.2
6,Turba,1,0.40910213,0.58412136,0.0370304,0.07604917,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
7,Turba,1,0.0,0.0,0.0,0.0,165,8.4,7.3,245,9.7,8.2,223,8.6,8.2
8,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
9,Turba,1,0.0,0.0,0.0,0.0,318,7.7,7.3,280,9.5,8.4,226,8.0,8.9
10,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
11,Turba,1,0.0,0.0,0.0,0.0,247,10.7,10.0,203,11.1,8.7,211,7.9,10.1
12,Turba,1,0.40495278,0.6001886,0.03237968,0.08459024,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
13,Turba,1,0.0,0.0,0.0,0.0,269,7.7,8.9,211,8.1,7.6,203,8.4,7.5
14,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
15,Turba,1,0.0,0.0,0.0,0.0,182,10.8,8.9,232,8.2,8.7,196,8.5,9.1
16,Turba,1,0.0,0.0,0.0,0.0,270,8.7,8.0,193,7.8,8.9,216,8.5,8.9
17,Turba,1,0.44834474,0.58146369,0.03477545,0.08036739,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
18,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
19,Turba,1,0.0,0.0,0.0,0.0,301,8.7,8.9,217,8.8,9.0,203,10.1,8.9
