Semilla,Tratamiento,Peso_Dia3,Peso_Dia2,Peso_Dia1
Semilla,Tratamiento,Peso_Dia3,Peso_Dia2,Peso_Dia1
1,Turba,193.0,241.0,226.0
3,Turba,267.0,224.0,240.0
4,Turba,179.0,208.0,240.0
5,Turba,179.0,259.0,224.0
7,Turba,165.0,245.0,223.0
9,Turba,318.0,280.0,226.0
11,Turba,247.0,203.0,211.0
13,Turba,269.0,211.0,203.0
15,Turba,182.0,232.0,196.0
16,Turba,270.0,193.0,216.0
19,Turba,301.0,217.0,203.0
21,Turba,193.0,217.0,227.0
22,Turba,289.0,267.0,227.0
23,Turba,182.0,225.0,298.0
25,Turba,177.0,217.0,212.0
26,Turba,287.0,208.0,292.0
28,Turba,322.0,279.0,226.0
29,Turba,289.0,268.0,262.0
30,Turba,375.0,293.0,330.0
33,Turba,247.0,216.0,235.0
34,Turba,270.0,217.0,240.0
35,Turba,289.0,180.0,235.0
36,Turba,270.0,211.0,305.0
38,Turba,182.0,280.0,292.0
39,Turba,181.0,146.0,196.0
41,Turba,247.0,211.0,211.0
42,Turba,193.0,255.0,240.0
45,Turba,301.0,209.0,235.0
46,Turba,318.0,268.0,224.0
48,Turba,310.0,268.0,196.0
49,Turba,179.0,210.0,279.0
50,Turba,163.0,276.0,235.0
51,Turba,270.0,267.0,226.0
52,Turba,163.0,146.0,203.0
55,Turba,180.0,189.0,288.0
57,Turba,165.0,255.0,155.0
58,Turba,318.0,192.0,239.0
59,Turba,269.0,213.0,212.0
60,Turba,322.0,225.0,155.0
61,Turba,165.0,202.0,172.0
63,Turba,301.0,186.0,191.0
64,Turba,177.0,180.0,240.0
65,Turba,270.0,202.0,250.0
66,Turba,155.0,232.0,240.0
68,Turba,375.0,180.0,225.0
69,Turba,177.0,219.0,196.0
70,Turba,197.0,229.0,194.0
72,Turba,165.0,258.0,279.0
74,Turba,301.0,179.0,155.0
75,Turba,193.0,261.0,211.0
76,Turba,165.0,214.0,225.0
77,Turba,289.0,241.0,305.0
78,Turba,179.0,211.0,235.0
80,Turba,310.0,217.0,262.0
81,Turba,310.0,311.0,227.0
82,Turba,295.0,223.0,211.0
84,Turba,165.0,180.0,212.0
85,Turba,181.0,268.0,216.0
87,Turba,301.0,180.0,239.0
88,Turba,180.0,261.0,235.0
90,Turba,269.0,293.0,211.0
91,Turba,289.0,146.0,226.0
93,Turba,165.0,258.0,268.0
94,Turba,295.0,293.0,155.0
95,Turba,179.0,248.0,194.0
96,Turba,247.0,255.0,224.0
97,Turba,310.0,245.0,194.0
98,Turba,375.0,231.0,305.0
99,Turba,155.0,197.0,262.0
100,Turba,247.0,343.0,220.0
